id,argument1,argument2,topic,score
2260,"The study found that "" recent experimental studies show that increasing income can improve school performance . ""","The problem , in their view , is that even if it does n't create mass joblessness , legislating higher wages specifically hurts the young and unskilled workers they 're meant to help .",Minimum wage,0.4285714286
2261,It ’s precisely because the redistributive effects of a minimum wage are complicated that most economists prefer other ways to help low-income families .,"Innovative companies such as Costco prove that happy employees can make shareholders smile , too .",Minimum wage,0.3214285714
2262,"According to a recent report by CBS News , the shift is harder on small business owners , many of whom are trying to figure out ways to generate additional income .","This would ironically hit young , inexperienced and low-skill workers the hardest , as they have the least bargaining power and are typically the first to be fired .",Minimum wage,0.5535714286
2263,"A 2014 study of 400 US Chief Financial Officers ( CFOs ) by Campbell Harvey , PhD , J. Paul Sticht Professor of International Business at Duke University , found that 40 % of CFOs would reduce employee benefits if the minimum wage were raised to $ 10 an hour .",""" If they want good jobs , they need to go to school ! """,Minimum wage,0.2857142857
2264,These are entry level jobs and Economist Thomas Sowell points out that the vast majority of people working minimum wage jobs are living in shared family arrangements where people in the same household share expenses .,"The study found that "" recent experimental studies show that increasing income can improve school performance . """,Minimum wage,0.4642857143
2265,"Why would n’t we want people performing vital jobs like farm workers , housekeepers , nursing assistants , fishing industry workers , construction workers , and yes , fast food workers ( among others ) to be able to lead secure , happy lives , so they ’ll keep doing those jobs we so desperately need done ?","In a 2011 paper they pointed out that a higher minimum wage along with the Earned Income Tax Credit ( which tops up income for poor workers in America ) boosted both employment and earnings for single women with children ( though it cost less-skilled , minority men jobs ) .",Minimum wage,0.5357142857
2266,"It will help the economy , help workers , and even help businesses .",""" The con to that is , if you 're trying to reduce income inequality , this is a pretty blunt instrument to do it .",Minimum wage,0.3928571429
2267,"An increase to get closer to an inflation-adjusted minimum wage , Orrenius said , probably would n’t negatively affect job numbers .","This helps explain why France also has shockingly high rates of youth unemployment : 26 % for 15 - to 24-year-olds . """,Minimum wage,0.2678571429
2268,"However , the researchers note , “ in other cases … the absence of price effects shows the relative unimportance of labor in a business ’s cost structure . ”",That ’s exactly why a federal minimum wage is a bad idea .,Minimum wage,0.3928571429
2269,Why not use that resource to help those who want to grow – into higher paying employment ?,Raising the minimum wage would lead to a healthier population and prevent premature deaths .,Minimum wage,0.3214285714
2270,"But the median raise for those lucky enough to get one was just 10 percent — which is to say , kind of a pittance , in terms of actual dollars and cents .","Even low-skill , entry-level positions in many areas already pay higher than minimum wage .",Minimum wage,0.4285714286
2271,I have a business partner who said he will have to increase his prices by 40 percent if it happens . ”,Job losses from raising the minimum wage are negligible .,Minimum wage,0.3571428571
2272,The aforementioned CBO report from 2013 estimated that half a million jobs would be lost if the federal minimum wage were raised to $ 10.10 per hour .,"At the time it was passed , opponents promised it would kill jobs and ultimately hurt the workers it was designed to help .",Minimum wage,0.6428571429
2273,Some suggest that creating more jobs for people who need them rather than raising earnings for people who already have them is a better solution for reducing the national poverty rate .,"Before the law took effect , worries about potential damage to employment were widespread .",Minimum wage,0.4107142857
2274,"Seth Zimmerman , PhD , Assistant Professor of Economics at the University of Chicago , stated : "" minimum wage laws can lead to labor market rigidities that make it more difficult for people to move up the economic ladder .","Thus , fewer people have a job .",Minimum wage,0.5714285714
2275,"Turnover slows down , since people are happier with their paychecks , and the unemployed snap up jobs elsewhere in town .","People who keep their jobs get more money ; those who lose their jobs , or fail to get new ones , suffer .",Minimum wage,0.5892857143
2276,Increased job growth and creation .,"If the minimum wage is raised , I 'll be happy for the working people who benefit and hopeful that the outcomes will be as good as promised .",Minimum wage,0.4107142857
2277,Think about it : You get more money .,2 - People who get the same amount of government aid as they would for working as justification to increase wages does n’t solve the problem .,Minimum wage,0.3392857143
2278,"If the minimum wage is raised , I 'll be happy for the working people who benefit and hopeful that the outcomes will be as good as promised .","With an increase in pay , low-income workers may no longer have access to helpful public assistance programs , like food stamps and the Earned Income Tax Credit ( EITC ) , both of which currently help many low-income workers in pretty significant ways .",Minimum wage,0.4285714286
2279,"• An increase in consumer prices , driven by companies offsetting increased labor costs .","Getting back to the subject at hand , though , let ’s also pay attention to its sister argument : “ I make $ 12/hour and I do n’t think I should be making the same as fast food employees . ”",Minimum wage,0.4285714286
2280,The most precise estimates were heavily clustered at or near zero employment effects ( elasticity = 0 ) .,"Proponents of a higher minimum wage state that the current federal minimum wage of $ 7.25 per hour is too low for anyone to live on ; that a higher minimum wage will help create jobs and grow the economy ; that the declining value of the minimum wage is one of the primary causes of wage inequality between low - and middle-income workers ; and that a majority of Americans , including a slim majority of self-described conservatives , support increasing the minimum wage .",Minimum wage,0.3928571429
2281,Why throw more money at someone who is content with staying put .,"Minimum wage laws require costly taxpayer-funded monitoring and enforcement mechanisms , whereas market wages do n’t .",Minimum wage,0.3392857143
2282,The movement for a minimum wage was initially focused on stopping sweatshop labor and controlling the proliferation of sweatshops in manufacturing industries .,"A uniform federal minimum wage may be sub-optimal for many states , and uniform state minimum wages may be sub-optimal for many cities .",Minimum wage,0.4821428571
2283,"Many companies may start looking to outsource , which means hiring people from other countries to do the same work for a different cost that is customary in their country .",Raising the minimum wage would increase the price of consumer goods .,Minimum wage,0.4107142857
2284,Bastian believes businesses are going to look to outsource to foreign countries with competitive wages or replace employees with technology .,"Assuming that holds true today , it means that bringing the minimum wage to $ 10.10 would tack $ 1.60 onto the cost of your Big Mac .",Minimum wage,0.375
2285,In the passage its ” Employees who are making a higher minimum wage feel more comfortable and satisfied in their minimum wage jobs meaning they are less likely to quit . ”,"And if consumers are at all sensitive to prices , at least some of them will choose to spend less on labor-intensive goods and services now that they are more expensive .",Minimum wage,0.4464285714
2286,When poorer workers have more to spend it stimulates effective aggregate demand for goods and services .,"In 1961 , one hotel manager lamented that if it the wage was increased , “ you will be able to buy hotels cheap . ”",Minimum wage,0.2857142857
2287,Raising the minimum wage would increase poverty .,Myth : Raising the federal tipped minimum wage ( $ 2.13 per hour since 1991 ) would lead to restaurant job losses .,Minimum wage,0.5892857143
2288,The legal restriction that employers can not pay less than a legislated wage is equivalent to the legal restriction that workers can not work at all in the protected sector unless they can find employers willing to hire them at that wage .,"In fact , a recent study by the Federal Reserve Bank of Chicago concluded that , following an increase in the minimum wage , spending by households with at least one minimum-wage worker increased by $ 700 per quarter .",Minimum wage,0.4107142857
2289,"In areas like Mississippi where the cost of living and average incomes are especially low , employers would need to spend proportionally more to pay their minimum wage employees than employers in higher cost areas like Hawaii , and yet would be unable to cover the cost by raising prices because their customers would not be able to afford them .","Not true : While 29 states and the District of Columbia currently have a minimum wage higher than the federal minimum , increasing the federal minimum wage will boost the earnings for nearly 38 million low-wage workers nationwide .",Minimum wage,0.5357142857
2290,"Higher prices lead to decreased demand , which can have a depressive effect on the economy .","** The absolute worst-case scenario is that Meer and West are right in their new paper , and the minimum wage really brings down employment overall .",Minimum wage,0.5357142857
2291,Myth : Increasing the minimum wage is bad for the economy .,"An increase of 10 percent , they found , might reduce employment by about 0.1 percent , which they concluded had "" no meaningful policy implications . """,Minimum wage,0.5357142857
2292,Another reason that employment may not fall is that businesses pass along some of the cost of a higher minimum wage to consumers through higher prices .,But it could make many families ' lives more financially stable without a great economic cost .,Minimum wage,0.375
2293,"Research published in 2010 by economists Joseph Sabia and Richard Burkhauser concluded that if the federal minimum wage were increased from $ 7.25 an hour to $ 9.50 an hour ( remember that the president ’s proposal is to increase the minimum wage to $ 9 per hour ) , only 11.3 % of workers who would gain from the increase belong to poor households .",better raise min wage again … social welfare went up .,Minimum wage,0.4642857143
2294,"Alan Manning , DPhil , Professor of Economics at the London School of Economics , stated in 2014 : "" As the minimum wage rises and work becomes more attractive , labor turnover rates and absenteeism tend to decline . """,Raising the minimum wage would decrease high school enrollment rates and increase drop-out rates .,Minimum wage,0.5535714286
2295,Business could raise their prices : What often gets lost in the discussion about raising the minimum wage is that low-wage workers probably would n't be alone in having their wages hiked .,Increasing the cost of labor only further incentivizes businesses to invest in technology instead of people .,Minimum wage,0.375
2296,"“ The typical worker who would be affected by an increase in the minimum wage to $ 10.10 per hour by 2015 looks nothing like the part-time , teen stereotype : She is in her early thirties , works full-time , and may have a family to support . ”",Labor supply and the effects of rising unemployment are also considered when establishing minimum wage .,Minimum wage,0.4821428571
2297,"A 2013 report from the Congressional Budget Office estimated that 16.5 million low-wage workers would benefit from a $ 10.10-per-hour wage , including 900,000 workers who would climb above the poverty threshold .","Because there are much better alternatives to help poor families , and because the minimum wage is a dishonest approach that hides the true cost of the policy .",Minimum wage,0.4285714286
2298,"Subsequently , the wage hike will only accelerate the “ end of retail ” and push stores out of business , increasing unemployment .","According to the Economic Policy Institute , the average age of workers who would benefit from a higher minimum wage today is thirty-five .",Minimum wage,0.5
2299,"A minimum wage increase may interfere with a low-wage , low-satisfaction business model — but that does n’t mean it interferes with the ability of businesses to be profitable .",One argument for a minimum wage is that there sometimes is n’t enough competition among employers .,Minimum wage,0.6071428571
2300,"In a time when the median income for women is 78 % of the national median income , and African Americans and Hispanics make 67 % and 79 % of the median income respectively , increasing the minimum wage is necessary to create a more equitable income distribution for disadvantaged groups .",Minimum wage was initially established to reduce poverty .,Minimum wage,0.625
2301,"The measure approved then contains an automatic cost-of-living adjustment clause , which has put the current minimum wage at $ 8.05 ; in January , that will go to $ 8.15 .","And I just think it 's much to do , minimum wage is much to do about nothing .",Minimum wage,0.3571428571
2302,Minimum wage was initially established to reduce poverty .,It would n't cure poverty .,Minimum wage,0.5892857143
2303,"The job losses could occur as a result of higher wages placing a greater strain on companies , which could lead to cutting jobs , reducing employee hours , and other methods to save the company money .",You have more money to spend .,Minimum wage,0.3392857143
2304,"The job losses could occur as a result of higher wages placing a greater strain on companies , which could lead to cutting jobs , reducing employee hours , and other methods to save the company money .","While some employees may see the benefits of a wage increase , others may be faced with no job and struggling to find a new one .",Minimum wage,0.625
2305,"If low-income workers earned more money , their dependence on , and eligibility for , government benefits would decrease .","Sanderson and many other economists and public policy experts fear a number of unintended consequences if the minimum wage is raised from its current level to $ 10.10 per hour , as President Barack Obama has proposed .",Minimum wage,0.5535714286
2306,"So , really , the market place does a better job ... [ R ] aising the minimum wage causes more unemployment .","They argue that these alternatives may address the issue of poverty better than a minimum wage , as it would benefit a broader population of low wage earners , not cause any unemployment , and distribute the costs widely rather than concentrating it on employers of low wage workers .",Minimum wage,0.6607142857
2307,Raising the minimum wage does more harm than good .,"In 2012 , Michael Reich published an economic analysis that suggested that a proposed minimum wage hike in San Diego might stimulate the city 's economy by about $ 190 million .",Minimum wage,0.375
2308,But what about passing the increased labor costs on to consumers ?,"John W. O'Neill , PhD , Director of the School of Hospitality Management at Pennsylvania State University , stated that an increase in the minimum wage to $ 10.10 or higher would "" decrease opportunities for upward mobility in the hospitality industry [ where ] entry-level , hourly roles are traditional ' routes to the top ' , "" and where workers learn the skills needed to gain a promotion .",Minimum wage,0.4642857143
2309,With the share of our nation ’s output going to workers ’ wages at an all-time low — and inequality on the rise — it ’s easy to understand why the idea of raising it to $ 10.10 is so popular .,Raising the minimum wage would lead to a healthier population and prevent premature deaths .,Minimum wage,0.3928571429
2310,"Then fuck you , we should pay them what they ’re worth to society — which sure as hell is n’t $ 7.50 / hour .","According to James Sherk , MA , Senior Policy Analyst at the Heritage Foundation , a single mother working full time and earning the federal minimum wage of $ 7.25 an hour would be over $ 260 a month worse off if the minimum wage were raised to $ 10.10 : "" While her market income rises by $ 494 , she loses $ 71 in EITC [ earned income tax credit ] refunds , pays $ 37 more in payroll taxes and $ 45 more in state income taxes .",Minimum wage,0.3035714286
2311,"In fact , the increase provided businesses with greater staffing stability , which saves money .",But basic economics shows that competition between employers for workers can be very effective at preventing businesses from misbehaving .,Minimum wage,0.5
2312,"But a widely cited 2006 study by David Neumark , an economics professor at the University of California at Irvine , and William Wascher , deputy director of research and statistics at the Board of Governors of the Federal Reserve System , examined the literature on this issue and found "" the weight of the evidence points to disemployment effects . ""","A tax credit is less politically palatable because it takes money directly out of federal coffers , while the minimum wage can be raised without it showing up directly on the government ’s books .",Minimum wage,0.2678571429
2313,Some say it actually hurts low-wage workers — businesses will be less likely to hire them .,"A uniform federal minimum wage may be sub-optimal for many states , and uniform state minimum wages may be sub-optimal for many cities .",Minimum wage,0.5892857143
2314,"Don Boudreaux , PhD , Adjunct Scholar at the Cato Institute , explained , "" the minimum wage cuts off the first rung of the employment ladder , and it 's that first lowest paying rung that provides the skills and experience workers need to reach the next rung and to continue climbing their way to a better life . ""","This works in two ways : for one , when workers are paid more , they spend more , which drives up demand and increases economic activity .",Minimum wage,0.4642857143
2315,Dube and his collaborators have concluded that modest minimum wage hikes do n’t appear to reduce employment levels .,One study concluded that 'Em ployers are disinclined to hire workers because the US federal minimum wage is very high relative to the local average ' .,Minimum wage,0.4821428571
2316,Too many people are earning “ minimum ” wage because either they ca n’t or wo n’t apply themselves to becoming more valuable employees through education and training .,The last time the minimum wage was federally increased in the United States was 2009 .,Minimum wage,0.25
2317,"Sara Lemos reviewed the literature and found that most studies reviewed above found that a 10 percent US minimum wage increase raises food prices by no more than 4 percent and overall prices by no more than 0.4 percent . ""","In Rawlins County , Kansas , where rental costs are some of the most affordable in the country , a living wage including housing costs for one person with no dependents is estimated by the Massachusetts Institute of Technology to be $ 9.35 , 25.3 % higher than the federal minimum wage and the state minimum wage of Kansas .",Minimum wage,0.5
2318,The current minimum wage is not high enough to allow people to afford housing .,Raising the federal minimum wage is an important part of strengthening the economy .,Minimum wage,0.5892857143
2319,"It could certainly be the case that the initial raise to $ 11 did n’t require price increases , and future steps up will .",Raising the minimum wage would increase the price of consumer goods .,Minimum wage,0.5892857143
2320,"Economists are generally in agreement that increases in the minimum wage , especially large increases to $ 15 an hour like in Seattle , will reduce employment opportunities for unskilled workers .",Eleven states have adopted indexed minimum wages since 2001 .,Minimum wage,0.3035714286
2321,Thus this price effect may harm the very people whom a minimum wage is supposed to help . ”,Raising the minimum wage would lead to a healthier population and prevent premature deaths .,Minimum wage,0.4285714286
2322,Perhaps lower turnover and increased worker productivity will absorb those costs .,There are pros and cons to minimum wage but for right now it is the only safety net there is that helps to protect non unionized workers .,Minimum wage,0.5714285714
2323,Business could raise their prices : What often gets lost in the discussion about raising the minimum wage is that low-wage workers probably would n't be alone in having their wages hiked .,That means higher prices for anyone stopping at the mall or Burger King — price bumps that could spread further out in the economy .,Minimum wage,0.625
2324,"60 % of small-business owners say that raising the minimum wage will "" hurt most small-business owners , "" according to a 2013 Gallup poll .",Some say it actually hurts low-wage workers — businesses will be less likely to hire them .,Minimum wage,0.5892857143
2325,"When you see people arguing against a minimum wage increase on the grounds that fast food workers do n’t deserve to make what other likewise underpaid workers make , that is as soul-crushingly perfect an illustration of the crab bucket mentality as you ’ll ever see .",Minimum wage behaves as a classical price floor on labor .,Minimum wage,0.5714285714
2326,Supporters of minimum wage also believe that a minimum wage stimulates consumption and thus puts more money into the economy by allowing low paid workers to spend more .,"After 90 consecutive days of employment or the employee reaches 20 years of age , whichever comes first , the employee must receive the current federal minimum wage or the state minimum wage , whichever is higher .",Minimum wage,0.5
2327,"Millennials were handed a broken economy , a hopelessly corrupt student loans system , and the most staggering lack of class mobility in American history , and we turned around to those that handed it to us and went , “ uh , this is broken , this is not what you spent our entire lives promising us .",Higher minimum wages reduce turnover among low-wage workers .,Minimum wage,0.3392857143
2328,A minimum wage increase would help to reduce race and gender inequality .,Retailers may find that they will raise prices on their services and products with a wage increase .,Minimum wage,0.375
2329,The United States currently has laws in place to ensure a minimum wage .,People that worked for minimum wage would no longer have to be reliant on federal programs to make ends meet .,Minimum wage,0.4821428571
2330,"This means that a $ 15 federal minimum wage would only raise the wages of the urban working class a modest amount , but would raise the wages of the small-town working class a huge amount .","Yet while there ’s growing consensus that lower-income workers need more support , not everyone agrees that a wage increase to $ 15/hour is the best solution .",Minimum wage,0.6428571429
2331,"Ninety-two percent of Democrats , 71 percent of independents and 43 percent of Republicans said they supported raising the federal minimum wage to $ 9.00 an hour and indexing future increases to inflation .","The free market should determine minimum wages , not the federal government .",Minimum wage,0.5178571429
2332,"Most importantly , a lot of minimum wage jobs are vital to the health of a functioning society .","The Washington Post observed that as minimum wage campaigns gain traction around the country , "" Many [ restaurant ] chains are already at work looking for ingenious ways to take humans out of the picture , threatening workers in an industry that employs 2.4 million wait staffers , nearly 3 million cooks and food preparers and many of the nation ’s 3.3 million cashiers . """,Minimum wage,0.5
2333,Raising the minimum wage would increase school attendance and decrease high school drop-out rates .,"Step increases tend to be larger when adopted , sometimes up to $ 1 an hour , but when averaged over the affected years , the increases are actually slightly smaller at an average of 16 cents an hour annually .",Minimum wage,0.3392857143
2334,Labor supply and the effects of rising unemployment are also considered when establishing minimum wage .,Other opponents of minimum wage believe that it can cause price inflation as businesses must raise their prices to accommodate the higher wages .,Minimum wage,0.5714285714
2335,"Adjustments to total compensation following minimum wage laws will disadvantage workers in the form of reduced hours , reduced fringe benefits , and reduced on-the-job training .","They analyzed employment trends for several categories of low-wage workers from 1990 to 2006 and found that increases in minimum wages had no negative effects on low-wage employment and successfully increased the income of workers in food services and retail employment , as well as the narrower category of workers in restaurants .",Minimum wage,0.6428571429
2336,The pros are clearly not as valuable as they were when the laws governing minimum wage were first started .,"In fact , a recent study by the Federal Reserve Bank of Chicago concluded that , following an increase in the minimum wage , spending by households with at least one minimum-wage worker increased by $ 700 per quarter .",Minimum wage,0.4642857143
2337,"According to a Federal Reserve Bank of Chicago study , “ 10 percent increase in the minimum wage lowers low skill employment by 2 to 4 percent and total restaurant employment by 1 to 3 percent . ”","Because the minimum wage has never been tied to inflation , its value has eroded significantly , and many economists say that has contributed mightily to the growth in income inequality .",Minimum wage,0.4821428571
2338,"Assuming that holds true today , it means that bringing the minimum wage to $ 10.10 would tack $ 1.60 onto the cost of your Big Mac .","Reich says the arguments of many opposed to a minimum wage increase are based on a "" basic Econ 101 model "" that does n't accurately represent the nuanced realities of industries that employ minimum wage workers .",Minimum wage,0.5714285714
2339,"A 2010 study by Joseph Sabia and Richard Burkhauser , who fall on the solidly conservative side of this issue , finds that if the minimum wage were increased to $ 9.50 from $ 7.25 , only 11.3 percent of beneficiaries would live in impoverished households .",In addition to the cost of losing benefits it would also increase tax liability for the people that can least afford the loss .,Minimum wage,0.3928571429
2340,"A 2014 survey found that 53 % of small business owners believed that "" with a higher minimum wage , businesses would benefit from lower employee turnover and increased productivity and customer satisfaction . """,But no one argues that increasing the minimum wage increases the number of unemployed workers who find jobs .,Minimum wage,0.5535714286
2341,"In a paper for the Hamilton Project , Dube observed that “ states as dissimilar as Massachusetts and Mississippi have different capacities to absorb a minimum wage of , say , $ 11.00 per hour , and a single minimum wage has to balance the needs of states at both ends of the spectrum . ”","So while raising the minimum wage from the current $ 7.25 an hour may not be particularly well targeted as an anti-poverty proposal , it ’s not badly targeted , either .",Minimum wage,0.5357142857
2342,The most precise estimates were heavily clustered at or near zero employment effects ( elasticity = 0 ) .,"An increase of 10 percent , they found , might reduce employment by about 0.1 percent , which they concluded had "" no meaningful policy implications . """,Minimum wage,0.4464285714
2343,"Relatively few employers will have to spend substantially more on their workforce under a higher federal minimum wage , and relatively few will have to raise their prices to account for it .","In essence , a $ 15 minimum wage is a tax on everyone , but the upside is that the worker will have more money to buy things for their family that adds to the economy .",Minimum wage,0.4107142857
2344,"• The possibility that a higher minimum wage would attract more experienced workers and keep them in lower-wage jobs longer , blocking young people or people with limited work experience from entry-level jobs .","Minimum wage laws discriminate against unskilled workers in favor of skilled workers , and the greatest amount of discrimination takes place against minority groups , like blacks .",Minimum wage,0.625
2345,"In contrast to the simple supply and demand diagram , it was commonly found that teenagers withdrew from the labor force in response to the minimum wage , which produced the possibility of equal reductions in the supply as well as the demand for labor at a higher minimum wage and hence no impact on the unemployment rate .","One complicating factor is possible monopsony in the labor market , whereby the individual employer has some market power in determining wages paid .",Minimum wage,0.5357142857
2346,The ripple effect shows that when you increase the minimum wage the wages of all others will consequently increase due the need for relativity .,"The Congressional Budget Office projected that a minimum wage increase from $ 7.25 to $ 10.10 would result in a loss of 500,000 jobs .",Minimum wage,0.4107142857
2347,"GS compared the employment change between December and January in those 13 states to the states that did n’t raise minimum wage , and found that that the states with minimum-wage increases had faster employment growth than the states where the minimum wage remained at its 2013 level .","A 2012 study by Sabia , Hansen , and Burkhauser found that "" minimum wage increases can have substantial adverse labor demand effects for low-skilled individuals "" , with the largest effects on those aged 16 to 24 .",Minimum wage,0.5178571429
2348,"In cities such as Los Angeles with a limited housing supply , raising the minimum wage but not increasing housing stock would lead to an increase in rental prices as "" 700,000 minimum wage workers will have more money to compete for the same low inventory of rental units , "" according to researchers from the University of California in Los Angeles .",But it ’s possible that productivity also rises because the higher minimum attracts more efficient workers to the labor pool .,Minimum wage,0.5357142857
2349,Minimum wage has long been a minimum standard of living .,A minimum wage job is suppose to be an entry level stepping stone – not a career goal .,Minimum wage,0.6428571429
2350,High employee turnover costs businesses time and money in recruiting and training new workers .,But no one argues that increasing the minimum wage increases the number of unemployed workers who find jobs .,Minimum wage,0.5535714286
2351,Thus this price effect may harm the very people whom a minimum wage is supposed to help .,"This also is n’t particularly surprising considering the UMass-Amherst study which found that a wage increase from $ 7.25 / hour to $ 15/hour , phased in over a period of four years , would have little to no impact on the fast food industry ’s profit margins in general .",Minimum wage,0.4464285714
2352,"Specifically , he advocates setting a minimum wage at half of the median full-time wage in a given jurisdiction , a standard that would have yielded minimum wages ranging from $ 12.45 in Massachusetts to $ 7.97 in Mississippi .","Today , it ’s also not unusual to hear conservatives warning that a hike in the minimum wage will simply lead businesses to replace flesh and blood workers with those made from metal and wire , like sushi-making machines or “ burger-flipping robots ” that can do the job of unskilled workers for a fraction of the cost .",Minimum wage,0.3928571429
2353,"Matthew Rousu , PhD , Associate Professor of Economics at Susquehanna University , wrote in a 2014 article that the federal minimum wage "" has a devastating impact on teenagers "" because firms will not pay many young workers with no skills or experience minimum wage , let alone a higher wage .","Today , it ’s also not unusual to hear conservatives warning that a hike in the minimum wage will simply lead businesses to replace flesh and blood workers with those made from metal and wire , like sushi-making machines or “ burger-flipping robots ” that can do the job of unskilled workers for a fraction of the cost .",Minimum wage,0.5357142857
2354,"About 70 percent of minimum wage employees , however , work fewer than 35 hours per week and thus earn proportionately less , according to federal labor statistics .",As the cost of living has jumped by leaps and bounds minimum wage has barely made an impact .,Minimum wage,0.4107142857
2355,"Competition Will Intensify : If minimum wage increases , overly qualified individuals will be vying for minimum wage positions , pushing younger , inexperienced workers out of the running and robbing them of their opportunity to gain experience and knowledge to build a resume for themselves and enter the workforce .","A uniform federal minimum wage may be sub-optimal for many states , and uniform state minimum wages may be sub-optimal for many cities .",Minimum wage,0.5
2356,"It can not be stated enough times : if your business model depends on not having to pay your employees a living wage , said business model is hopelessly broken and deserves to fail .",Keep in mind that earning more than minimum wage does not necessary mean that one is not living in poverty .,Minimum wage,0.5178571429
2357,"The better approach , according to minimum wage hike opponents , is to put money into education and job preparedness plans , which they say have proven success records .","According to Aaron Pacitti , PhD , Associate Professor of Economics at Siena College , raising the minimum wage would help reduce the federal budget deficit "" by lowering spending on public assistance programs and increasing tax revenue .",Minimum wage,0.5535714286
2358,"The Center for American Progress reported in 2014 that raising the federal minimum wage by 6 % to $ 10.10 would reduce spending on the Supplemental Nutrition Assistance Program ( SNAP , formerly known as food stamps ) by 6 % or $ 4.6 billion .",Economists from the White House say that job losses may actually be closer to zero given the other benefits of increasing the minimum wage .,Minimum wage,0.4464285714
2359,A minimum wage increase would help to reduce race and gender inequality .,"Angela Merkel ’s new government has signalled its support for a new national minimum wage , and on January 16th George Osborne , Britain ’s chancellor , backed an above-inflation rise in the minimum wage .",Minimum wage,0.375
2360,Of course that money that was paid in the form of higher wage would be funneled back into the economy which was improve the economy .,"In February , President Obama raised the minimum wage to $ 10.10 for federal contractors only .",Minimum wage,0.3928571429
2361,"You 'll need less from the government , which makes you a lot less expensive to your neighbors than you are now , and you 'll pay more in taxes , which means you 'll put more in than you take out .","A higher minimum wage might also decrease turnover and thus keep training costs down , supporters say .",Minimum wage,0.4821428571
2362,"Trierweiler explains that if the minimum wage were raised , the cost of day care would go up .","Some argue that by increasing the federal minimum wage , however , the economy will be adversely affected due to small businesses not being able to keep up with the need to subsequently increase all workers wages .",Minimum wage,0.5892857143
2363,"In California in 2015 , even a person earning the then state minimum wage of $ 9 per hour would need to work 92 hours a week to afford to rent a one-bedroom apartment .","Where does the minimum wage end up , $ 12 ?",Minimum wage,0.25
2364,Decreased Turnover Rate : Employees who are making a higher minimum wage feel more comfortable and satisfied in their minimum wage jobs meaning they are less likely to quit .,Increasing the minimum wage would allow teens to work fewer hours for the same amount of pay giving them more time to study and reducing the likelihood that they would drop out of high school .,Minimum wage,0.5
2365,Establishing a minimum wage in the United States helped do away with sweat shops and insures that people are paid properly for their work .,"In standard models of competitive markets , anything that artificially raises the price of labour will curb demand for it , and the first to lose their jobs will be the least-skilled workers .",Minimum wage,0.5
2366,Supporters of minimum wage also believe that a minimum wage stimulates consumption and thus puts more money into the economy by allowing low paid workers to spend more .,"That last argument is underscored by the exorbitant salaries earned by CEOs and other corporate titans , which are also the same people generally arguing against an increase in the minimum wage .",Minimum wage,0.5
2367,"It had other purposes , too , including regional economic development : the initial impact of the minimum wage was strongest in low-wage industries in the South , such as textiles .","In other words , one theory holds that increasing the minimum wage forces businesses to get thinner .",Minimum wage,0.4821428571
2368,"One complicating factor is possible monopsony in the labor market , whereby the individual employer has some market power in determining wages paid .","Paid sick leave is also part of statewide Initiative 1433 , which would gradually raise the statewide minimum wage to $ 13.50 an hour over the next four years , if it passes .",Minimum wage,0.5535714286
2369,"One explanation , some economists speculated , was that firms had previously been getting away with paying workers less than they were able , because workers were prevented from searching for better-paid work by the costs involved in changing jobs .",Increasing minimum wage also has its disadvantages that can seriously effect workers .,Minimum wage,0.4464285714
2370,"According to the Department of Labor , over half of people paid at minimum wage work a full-time schedule , and minimum wage workers contribute 46 percent of their household ’s income .",Myth 5 : “ Raising the minimum wage will kill jobs . ”,Minimum wage,0.3928571429
2371,And then we 'll start paying down the national debt instead of borrowing more money from China to spend some money we do n't have .,The pros of minimum wage include a standard that corporate entities have to adhere to .,Minimum wage,0.4107142857
2372,"A large percentage of day care staff tend to be paid poverty wages , yet the cost of care is high , especially for infants and often very burdensome for parents . ”","Since demand for the product is highly inelastic , consumers continue to buy the product at the higher price and so the manager is not forced to lay off workers .",Minimum wage,0.375
2373,"As a result , we end up subsidizing companies like McDonald ’s or Walmart that have a large , poorly paid work force .",The pros of minimum wage include a standard that corporate entities have to adhere to .,Minimum wage,0.4642857143
2374,"In Massachusetts , very few workers would be affected by an increase in the federal minimum wage to $ 10.10 , as the Bay State already has a $ 9 minimum wage that is set to increase to $ 11 by 2017 .","A June 2014 survey found that more than 3 out of 5 small business owners support increasing the minimum wage to $ 10.10 / hour , saying they believe that a higher minimum wage would increase consumer purchasing power ( 58 % ) , help the economy ( 56 % ) , and benefit their businesses via lower employee turnover , increased productivity , and customer satisfaction ( 53 % ) .",Minimum wage,0.625
2375,The federal minimum wage is currently $ 7.25 per hour and has n't been raised since 2009 .,"According to a study by the Center for Economic and Policy Research ( CEPR ) , the federal minimum wage would have been $ 21.72 per hour in 2012 , instead of $ 7.25 , if the minimum wage had kept pace with increases in productivity since 1968 .",Minimum wage,0.5714285714
2376,While many critics site the effect that a substantial increase in minimum wage would have on the economy like higher prices for food and other essentials this is actually not a REAL con of minimum wage increases .,"So if an increase in the minimum wage successfully redistributed some income to the poor , it could increase overall consumer spending — which could stimulate employment and output growth .",Minimum wage,0.5535714286
